Column 1,user_id,signup_time,purchase_time,signup_time-purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,N[device_id]
73178,328855,03/11/2015 12:54 AM,04/05/2015 12:23 PM,36689,16,VCCTAYDCWKZIY,Direct,IE,M,26,2727760440,1
63154,328496,07/23/2015 12:48 PM,10/20/2015 1:01 PM,128173,40,HTOCRWCBYIQJI,Ads,Safari,M,33,2185371170,1
45469,97677,05/11/2015 2:28 AM,07/20/2015 9:37 PM,101949,79,GNVLAANUJMKFC,SEO,Chrome,F,27,2821271543,2
64425,272080,06/23/2015 12:15 PM,08/26/2015 1:42 AM,91527,40,NBCCGOYVYSVAV,SEO,FireFox,M,20,1074953657,1
125042,341169,03/08/2015 1:08 PM,05/15/2015 6:48 AM,97540,43,YQWZFJBVAAGEI,SEO,IE,M,40,2981257044,1
118822,41373,01/06/2015 1:42 PM,01/06/2015 1:42 PM,0,56,BYSNUKLSWIKBD,SEO,Chrome,M,27,1239228476,13
147030,343842,03/12/2015 6:37 PM,03/14/2015 10:54 PM,3137,34,ISUILVGRBBMYZ,Ads,Safari,F,33,716672315.6,1
27845,37810,01/06/2015 2:23 PM,01/06/2015 2:23 PM,0,60,HLGDGXZBJPJYZ,SEO,Chrome,M,58,1969298055,9
60914,150961,02/27/2015 9:50 PM,06/11/2015 8:20 AM,148950,31,JLBZQPSPIYZEX,Direct,IE,F,28,1801096920,1
35684,232877,07/29/2015 3:51 AM,07/29/2015 9:56 AM,365,73,DZYZRANMIRILR,SEO,Safari,M,28,4212155543,2
6379,185182,03/29/2015 12:37 AM,07/10/2015 10:48 PM,149651,58,PTRMWMYBKLBBR,SEO,Chrome,M,27,1234691318,1
141497,264032,01/07/2015 6:19 PM,01/07/2015 6:19 PM,0,42,DVPXFMRKKRSBE,Ads,Safari,M,29,2685346156,9
113245,269043,06/30/2015 6:13 AM,08/13/2015 6:32 AM,63379,20,NXTYOJJFHHODW,Ads,Chrome,F,39,1526203536,1
109780,199689,01/25/2015 7:27 PM,04/03/2015 6:09 AM,97122,31,YLAZVLKYDUVWG,Ads,IE,F,23,3164691525,1
80668,351750,06/15/2015 5:09 PM,09/22/2015 7:03 PM,142674,81,DGZNQLUNGARWC,Ads,IE,M,45,4095188828,1
121857,89142,02/22/2015 2:33 PM,04/02/2015 4:24 AM,55551,14,OZXXDWQWCWTIG,Direct,Chrome,F,35,1525605035,1
65453,226528,05/01/2015 7:48 AM,07/12/2015 2:48 AM,103380,12,GUGISFNFOUBAH,Ads,Safari,F,35,4185011159,1
140689,242593,04/28/2015 3:57 PM,05/11/2015 3:34 PM,18697,25,JFIQEIOVRWXTY,Direct,Chrome,F,18,91506762.82,1
148121,79204,01/29/2015 10:24 PM,02/27/2015 4:13 PM,41389,29,CUTZWGTCGLCWF,SEO,IE,M,47,2073907490,2
22582,250987,07/20/2015 6:26 AM,08/14/2015 12:29 AM,35643,13,CAGGNUWWZHENV,Ads,Chrome,M,20,2879066745,1
84317,23488,05/15/2015 7:01 AM,08/28/2015 10:34 AM,151413,40,VZDVVNXGSDPOM,SEO,IE,F,46,2532844535,1
43454,245237,08/02/2015 9:57 AM,08/24/2015 9:27 PM,32370,26,YGCUWJAWHOBBY,Ads,Safari,F,40,983782596.2,1
106340,142033,06/25/2015 2:04 PM,08/05/2015 3:32 PM,59128,35,RDUPESMROKCEA,SEO,IE,M,32,3182392875,1
4335,104827,01/25/2015 4:04 AM,03/28/2015 5:39 PM,90095,66,NVQTAIZYALHMO,SEO,Chrome,F,37,118025072.8,1
30835,198469,03/02/2015 10:45 PM,06/23/2015 5:52 PM,162427,21,VQYSDDOICSUOD,Ads,Opera,M,32,380066489.1,1
5019,9302,03/10/2015 7:26 AM,04/19/2015 1:28 AM,57242,18,JUDRIDKHXBPNW,Direct,FireFox,M,40,3056695744,1
104415,18437,01/01/2015 2:13 AM,04/30/2015 2:50 AM,171397,28,UNNWBBNWZYQSF,SEO,Safari,M,22,1279271480,9
93444,79595,06/15/2015 5:34 PM,06/23/2015 9:35 AM,11041,34,WZHFULKZPICCZ,Ads,IE,F,22,2186579796,1
38019,171299,08/03/2015 3:52 AM,09/12/2015 8:59 AM,57907,23,DVVMDMNQDBONQ,SEO,Safari,M,26,3368104671,1
124738,360155,06/13/2015 3:53 AM,06/22/2015 1:54 PM,13561,54,XZOIEPQPKIPIO,Direct,Chrome,M,23,4162050298,1
117262,189531,07/07/2015 7:53 PM,08/06/2015 10:29 PM,43356,31,XQNBCVDSGRCMH,SEO,Chrome,F,29,2910967712,1
47835,300337,06/19/2015 11:52 AM,07/16/2015 3:01 PM,39069,37,BNPBUZSFJYFCU,SEO,IE,M,47,3199567567,1
134470,90382,03/25/2015 12:30 AM,04/26/2015 5:24 PM,47094,19,JFYAJAVGSTIUD,Ads,IE,M,28,1316814594,1
89253,91570,04/20/2015 9:59 PM,07/10/2015 11:29 AM,116010,9,OOXMPJWSHRMKR,Direct,Chrome,M,41,661292823.7,1
32000,206058,05/14/2015 9:21 AM,05/30/2015 12:18 AM,22497,54,OBROGQUPWKQCR,Ads,Chrome,M,27,684424800.8,1
147364,326684,01/27/2015 9:41 PM,02/11/2015 9:22 PM,21581,16,EFRIPIRRCXILC,SEO,Chrome,M,27,3710167646,1
20457,39465,06/06/2015 8:46 PM,08/08/2015 5:28 AM,89802,52,XLGHAJGPILJUD,Ads,Chrome,F,18,3590960832,1
24744,102125,06/10/2015 6:52 AM,09/28/2015 5:46 PM,159054,39,XYZAQBZXKBKIP,Ads,Chrome,M,26,2848859960,1
